PRICE,AREA
46.5 L,1080
33 L,963
32.21 L,947
1.45 Cr,2182
85 L,1485
70 L,1251
68 L,1249
9 L,411
70 L,1250
83 L,1482
95 L,1489
1.1 Cr,1649
1.1 Cr,1650
1.75 Cr,1950
1.45 Cr,1950
1.5 Cr,1415
78 L,1460
90 L,1480
95 L,1484
95 L,1485
78 L,1090
99 L,1832
91 L,1260
85 L,920
1.55 Cr,1409
1.32 Cr,1357
35.61 L,1052
1.51 Cr,1623
72 L,1530
85 L,865
7.5 Cr,5915
46 L,1018
72 L,1200
47.2 L,844
32 L,560
64 L,1268
27.93 L,900
91 L,1118
1.59 Cr,1381
68.94 L,1049
84.3 L,1305
45 L,994
32 L,750
72 L,1256
75.36 L,1256
75.36 L,1256
78.36 L,1306
85.76 L,1072
1.07 Cr,1334
86 L,1075
1.17 Cr,1458
24.16 L,819
35.65 L,1150
17.36 L,560
25 L,828
27.86 L,796
39.07 L,1221
70 L,1250
80 L,1060
1.05 Cr,1575
85 L,1100
34 L,1050
31 L,370
90 L,1388
1.08 Cr,1794
65 L,1054
72 L,1470
3.15 Cr,3161
55.25 L,1015
70 L,1296
1.17 Cr,1506
26.5 L,459
55 L,970
21 L,569
68 L,1350
36 L,829
30 L,738
1.02 Cr,1500
18 L,440
73 L,1475
66.5 L,1450
64.5 L,1455
49 L,948
49 L,949
40 L,846
71 L,1249
61 L,1450
58 L,1251
40 L,845
58 L,1248
97.5 L,1457
56 L,949
61 L,1448
90 L,1450
80 L,1250
75 L,1250
58 L,1250
61 L,1450
83.5 L,1458
1.3 Cr,1450
1.3 Cr,1450
1.32 Cr,1400
82 L,950
1.3 Cr,2032
1.16 Cr,1719
2.34 Cr,1925
2.25 Cr,1925
75 L,1050
2 Cr,1795
2 Cr,1801
82 L,1317
2.2 Cr,1925
2.1 Cr,1925
1.26 Cr,1400
80 L,1317
85 L,1187
2.1 Cr,1822
65 L,937
2.15 Cr,1925
70 L,937
1.34 Cr,1737
1.25 Cr,1400
1.27 Cr,1400
73 L,1050
